City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,1.86,100,100,4.22,SJ,1683687798
1,bilibino,68.0546,166.4372,-2.51,80,100,1.84,RU,1683687798
2,eydhafushi,5.1033,73.0708,28.7,77,98,5.42,MV,1683687799
3,san luis de la loma,17.2706,-100.8939,27.75,72,0,1.08,MX,1683687636
4,ancud,-41.8697,-73.8203,10.8,95,87,2.02,CL,1683687799
5,chonchi,-42.6128,-73.8092,12.56,98,99,0.6,CL,1683687208
6,chimore,-16.9833,-65.1333,18.61,98,50,0.54,BO,1683687201
7,grytviken,-54.2811,-36.5092,1.17,97,100,0.93,GS,1683687800
8,adamstown,-25.066,-130.1015,21.72,59,90,5.59,PN,1683687800
9,st. john's,47.5649,-52.7093,4.98,79,75,15.95,CA,1683687214
10,mukalla,14.5425,49.1242,27.01,67,45,1.99,YE,1683687800
11,longyearbyen,78.2186,15.6401,-2.09,74,75,4.12,SJ,1683687800
12,letlhakeng,-24.0944,25.0298,13.28,62,0,2.36,BW,1683687800
13,paso de los libres,-29.7131,-57.0899,14.02,94,0,1.03,AR,1683687801
14,margaret river,-33.95,115.0667,14.99,65,100,12.32,AU,1683687801
15,concepcion,-36.827,-73.0498,11.89,87,100,3.6,CL,1683687558
16,ushuaia,-54.8,-68.3,1.81,75,0,2.57,AR,1683687801
17,kapa'a,22.0752,-159.319,27.18,69,100,7.2,US,1683686967
18,goulburn,-34.75,149.7167,15.44,45,0,0.45,AU,1683687802
19,olinda,-8.0089,-34.8553,27.85,74,40,3.6,BR,1683687599
20,coquimbo,-29.9533,-71.3436,11.85,100,100,1.03,CL,1683687796
21,thompson,55.7435,-97.8558,16.09,59,75,4.12,CA,1683687802
22,utrik,11.2278,169.8474,27.45,78,99,6.89,MH,1683687224
23,ribeira grande,38.5167,-28.7,18.21,97,100,7.6,PT,1683687203
24,khurai,24.0436,78.3319,33.51,9,0,2.93,IN,1683687803
25,phatthalung,7.5,100.0833,28.26,75,100,1.19,TH,1683687803
26,georgetown,5.4112,100.3354,32.96,74,20,1.54,MY,1683687524
